source_id,target_id,edge_type,weight
w1,p1,works_on,0.9
w2,p2,works_on,0.85
w4,p3,works_on,0.75
w5,p4,works_on,0.6
w6,p5,works_on,0.55
w7,p3,works_on,0.48
w8,p5,works_on,0.45
w1,s5,has_skill,1.0
w2,s1,has_skill,1.0
w3,s2,has_skill,1.0
w4,s3,has_skill,1.0
w5,s4,has_skill,1.0
w6,s2,has_skill,1.0
w7,s3,has_skill,1.0
w8,s4,has_skill,1.0
w1,d1,located_in,1.0
w2,d2,located_in,1.0
w3,d2,located_in,1.0
w4,d3,located_in,1.0
w5,d1,located_in,0.5
w5,d2,located_in,0.5
w6,d4,located_in,1.0
w7,d3,located_in,0.5
w7,d4,located_in,0.5
w8,d4,located_in,1.0
